Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
BAYSHORE PARK,60 Bayshore Road  #29-04 ,1,208,Strata,2228000,-,10712,995,20-Dec-18,Condominium,99 Yrs From 17/03/1982,1986,Resale,Private,16,46,469982,East Region,Bedok
PARK COLONIAL,8 Woodleigh Lane  #08-38 ,1,62,Strata,1334000,-,21516,1999,20-Dec-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
THE MINTON,10 Hougang Street 11  #10-30 ,1,139,Strata,1630000,-,11727,1089,20-Dec-18,Condominium,99 Yrs From 27/07/2007,2013,Resale,Private,19,53,534080,North East Region,Hougang
PARC CENTROS,92 Punggol Central  #09-30 ,1,71,Strata,850000,-,11972,1112,19-Dec-18,Condominium,99 Yrs From 19/03/2012,2016,Resale,HDB,19,82,828723,North East Region,Punggol
ORCHID PARK CONDOMINIUM,83 Yishun Street 81  #04-02 ,1,106,Strata,760000,-,7170,666,19-Dec-18,Condominium,99 Yrs From 01/09/1991,1994,Resale,Private,27,76,768446,North Region,Yishun
FLO RESIDENCE,3 Punggol Field Walk  #16-05 ,1,94,Strata,1000000,-,10638,988,19-Dec-18,Condominium,99 Yrs From 05/12/2011,2016,Resale,HDB,19,82,828740,North East Region,Punggol
LA FIESTA,56 Sengkang Square  #05-16 ,1,93,Strata,1230000,-,13226,1229,19-Dec-18,Condominium,99 Yrs From 03/09/2012,2016,Resale,HDB,19,54,544833,North East Region,Sengkang
THE LUXURIE,31 Compassvale Road  #15-41 ,1,116,Strata,1570000,-,13534,1257,19-Dec-18,Condominium,99 Yrs From 15/06/2011,2015,Resale,Private,19,54,544759,North East Region,Sengkang
KEW GREEN,139 Kew Crescent ,1,278,Strata,1988000,-,7151,664,19-Dec-18,Condominium,99 Yrs From 21/04/1994,1997,Resale,Private,16,46,466155,East Region,Bedok
THE TAPESTRY,57 Tampines Street 86  #06-26 ,1,86,Strata,1212800,-,14102,1310,19-Dec-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528542,East Region,Tampines
THE GARDENS AT BISHAN,7 Sin Ming Walk  #06-14 ,1,82,Strata,955000,-,11646,1082,19-Dec-18,Condominium,99 Yrs From 22/03/1997,2004,Resale,HDB,20,57,575577,Central Region,Bishan
COSTA DEL SOL,80 Bayshore Road  #18-28 ,1,115,Strata,1600000,-,13913,1293,19-Dec-18,Condominium,99 Yrs From 05/05/1997,2003,Resale,HDB,16,46,469992,East Region,Bedok
THE ALPS RESIDENCES,113 Tampines Street 86  #09-38 ,1,87,Strata,1186000,-,13632,1266,19-Dec-18,Condominium,99 Yrs From 03/08/2015,Uncompleted,New Sale,N.A,18,52,528536,East Region,Tampines
THE COAST AT SENTOSA COVE,276 Ocean Drive  #01-34 ,1,288,Strata,5530000,-,19201,1784,18-Dec-18,Condominium,99 Yrs From 11/04/2006,2009,Resale,Private,4,9,98449,Central Region,Southern Islands
TANGLIN VIEW,150 Prince Charles Crescent  #19-05 ,1,179,Strata,2350000,-,13128,1220,18-Dec-18,Condominium,99 Yrs From 17/05/1997,2001,Resale,Private,3,15,159012,Central Region,Bukit Merah
IVORY HEIGHTS,122 Jurong East Street 13  #12-41 ,1,158,Strata,1550000,-,9810,911,18-Dec-18,Condominium,100 Yrs From 01/02/1986,Unknown,Resale,Private,22,60,600122,West Region,Jurong East
