Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
JADESCAPE,8 Shunfu Road  #19-28 ,1,98,Strata,1773000,-,18092,1681,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #15-25 ,1,132,Strata,2372000,-,17970,1669,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #15-34 ,1,60,Strata,1105000,-,18417,1711,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #10-34 ,1,60,Strata,1080000,-,18000,1672,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #11-33 ,1,117,Strata,2052000,-,17538,1629,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #07-03 ,1,72,Strata,1249000,-,17347,1612,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #07-26 ,1,60,Strata,1080000,-,18000,1672,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575744,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #13-28 ,1,98,Strata,1737000,-,17724,1647,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #08-26 ,1,60,Strata,1085000,-,18083,1680,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #06-23 ,1,71,Strata,1262000,-,17775,1651,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #05-09 ,1,71,Strata,1317840,-,18561,1724,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #04-34 ,1,60,Strata,1009000,-,16817,1562,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575745,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #21-56 ,1,84,Strata,1585000,-,18869,1753,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #16-25 ,1,132,Strata,2380000,-,18030,1675,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #11-34 ,1,60,Strata,1085000,-,18083,1680,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #07-23 ,1,71,Strata,1267000,-,17845,1658,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #05-13 ,1,49,Strata,873000,-,17816,1655,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #04-02 ,1,72,Strata,1260000,-,17500,1626,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan
JADESCAPE,12 Shunfu Road  #18-44 ,1,49,Strata,968000,-,19755,1835,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575747,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #04-18 ,1,71,Strata,1252000,-,17634,1638,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #10-27 ,1,60,Strata,1080000,-,18000,1672,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #20-28 ,1,98,Strata,1779000,-,18153,1686,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #12-02 ,1,72,Strata,1328000,-,18444,1714,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #11-28 ,1,98,Strata,1725000,-,17602,1635,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #16-62 ,1,71,Strata,1312000,-,18479,1717,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #08-13 ,1,49,Strata,885000,-,18061,1678,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #21-02 ,1,72,Strata,1373000,-,19069,1772,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #09-13 ,1,49,Strata,889000,-,18143,1686,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,12 Shunfu Road  #20-46 ,1,195,Strata,3293000,-,16887,1569,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575747,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #10-61 ,1,107,Strata,1860000,-,17383,1615,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575749,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #11-18 ,1,71,Strata,1287000,-,18127,1684,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #01-62 ,1,71,Strata,1247000,-,17563,1632,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #07-20 ,1,94,Strata,1692000,-,18000,1672,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #16-03 ,1,72,Strata,1299000,-,18042,1676,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,12 Shunfu Road  #18-46 ,1,195,Strata,3253000,-,16682,1550,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575747,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #09-02 ,1,72,Strata,1313000,-,18236,1694,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #07-17 ,1,132,Strata,2392000,-,18121,1684,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #11-27 ,1,60,Strata,1085000,-,18083,1680,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #06-27 ,1,60,Strata,1060000,-,17667,1641,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575745,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #07-58 ,1,49,Strata,904000,-,18449,1714,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #03-34 ,1,60,Strata,989000,-,16483,1531,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #10-01 ,1,71,Strata,1317000,-,18549,1723,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #07-30 ,1,71,Strata,1267000,-,17845,1658,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #10-21 ,1,98,Strata,1734000,-,17694,1644,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575744,Central Region,Bishan
THE TAPESTRY,57 Tampines Street 86  #02-27 ,1,133,Strata,1671030,-,12564,1167,22-Sep-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528542,East Region,Tampines
JADESCAPE,6 Shunfu Road  #09-20 ,1,94,Strata,1704000,-,18128,1684,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575744,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #06-26 ,1,60,Strata,1075000,-,17917,1664,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #03-16 ,1,84,Strata,1399000,-,16655,1547,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #17-28 ,1,98,Strata,1761000,-,17969,1669,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575745,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #22-34 ,1,60,Strata,1140000,-,19000,1765,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #05-03 ,1,72,Strata,1239000,-,17208,1599,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan
JADESCAPE,4 Shunfu Road  #10-16 ,1,84,Strata,1513000,-,18012,1673,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan
JADESCAPE,8 Shunfu Road  #18-33 ,1,117,Strata,2108000,-,18017,1674,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan
JADESCAPE,6 Shunfu Road  #03-23 ,1,71,Strata,1247000,-,17563,1632,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #15-02 ,1,72,Strata,1343000,-,18653,1733,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,2 Shunfu Road  #05-02 ,1,72,Strata,1293000,-,17958,1668,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan
JADESCAPE,16 Shunfu Road  #12-61 ,1,107,Strata,1872000,-,17495,1625,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575749,Central Region,Bishan
PARC BOTANNIA,16 Fernvale Street  #20-20 ,1,107,Strata,1497600,-,13996,1300,21-Sep-18,Condominium,99 Yrs From 28/12/2016,Uncompleted,New Sale,HDB,28,79,797393,North East Region,Sengkang
YISHUN SAPPHIRE,48 Canberra Drive  #04-14 ,1,113,Strata,878000,-,7770,722,21-Sep-18,Condominium,99 Yrs From 16/02/1998,2001,Resale,HDB,27,76,768437,North Region,Yishun
J GATEWAY,2 Gateway Drive  #06-11 ,1,44,Strata,880000,-,20000,1858,21-Sep-18,Condominium,99 Yrs From 28/08/2012,2016,Resale,Private,22,60,608533,West Region,Jurong East
Q BAY RESIDENCES,9 Tampines Street 86  #04-26 ,1,96,Strata,1030000,-,10729,997,21-Sep-18,Condominium,99 Yrs From 21/08/2012,2016,Resale,Private,18,52,528587,East Region,Tampines
THE PALETTE,103 Pasir Ris Grove  #02-06 ,1,128,Strata,1350000,-,10547,980,21-Sep-18,Condominium,99 Yrs From 20/10/2010,2015,Resale,HDB,18,51,518196,East Region,Pasir Ris
D'LEEDON,13 Leedon Heights  #29-46 ,1,130,Strata,2250000,-,17308,1608,21-Sep-18,Condominium,99 Yrs From 08/04/2010,2014,Resale,Private,10,26,266224,Central Region,Bukit Timah
THE QUARTZ,55 Compassvale Bow  #12-10 ,1,107,Strata,1160000,-,10841,1007,21-Sep-18,Condominium,99 Yrs From 18/04/2005,2009,Resale,Private,19,54,544986,North East Region,Sengkang
ROCHELLE AT NEWTON,188 Keng Lee Road  #05-02 ,1,158,Strata,2480000,-,15696,1458,21-Sep-18,Condominium,99 Yrs From 10/03/2008,2012,Resale,Private,11,30,308414,Central Region,Novena
KANDIS RESIDENCE,2 Kandis Link  #07-01 ,1,85,Strata,1250500,-,14712,1367,21-Sep-18,Condominium,99 Yrs From 11/07/2016,Uncompleted,New Sale,N.A,27,75,756967,North Region,Sembawang
THE TAPESTRY,53 Tampines Street 86  #04-21 ,1,56,Strata,810400,-,14471,1344,21-Sep-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528540,East Region,Tampines
PARK COLONIAL,10 Woodleigh Lane  #02-43 ,1,99,Strata,1705000,-,17222,1600,21-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357657,Central Region,Toa Payoh
SELETAR PARK RESIDENCE,21 Seletar Road  #01-45 ,1,100,Strata,1150000,-,11500,1068,21-Sep-18,Condominium,99 Yrs From 15/03/2011,2015,Resale,HDB,28,80,807021,North East Region,Serangoon
GUILIN VIEW,26 Bukit Batok Street 52  #23-06 ,1,117,Strata,1005000,-,8590,798,21-Sep-18,Condominium,99 Yrs From 24/04/1996,2000,Resale,Private,23,65,659247,West Region,Bukit Batok
THE TRE VER,72 Potong Pasir Avenue 1  #06-44 ,1,102,Strata,1731000,-,16971,1577,21-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358397,Central Region,Toa Payoh
THE ESTUARY,93 Yishun Avenue 1  #09-24 ,1,86,Strata,880000,-,10233,951,21-Sep-18,Condominium,99 Yrs From 25/06/2008,2013,Resale,HDB,27,76,769136,North Region,Yishun
EIGHT RIVERSUITES,8 Whampoa East  #24-22 ,1,75,Strata,1238000,-,16507,1534,21-Sep-18,Condominium,99 Yrs From 11/07/2011,2016,Resale,Private,12,33,338520,Central Region,Kallang
PARK COLONIAL,8 Woodleigh Lane  #02-28 ,1,43,Strata,795000,-,18488,1718,21-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #13-28 ,1,43,Strata,848000,-,19721,1832,21-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
RIVERBANK @ FERNVALE,13 Fernvale Close  #04-16 ,1,46,Strata,590000,-,12826,1192,21-Sep-18,Condominium,99 Yrs From 10/07/2013,2017,Resale,Private,28,79,797476,North East Region,Sengkang
BLUE HORIZON,29 West Coast Crescent  #13-28 ,1,86,Strata,966000,-,11233,1044,21-Sep-18,Condominium,99 Yrs From 14/08/2000,2005,Resale,Private,5,12,128049,West Region,Clementi
LOYANG VALLEY,210 Loyang Avenue  #01-06 ,1,185,Strata,1450000,-,7838,728,21-Sep-18,Condominium,99 Yrs From 20/08/1982,1985,Resale,Private,17,50,509063,East Region,Pasir Ris
THE PALETTE,105 Pasir Ris Grove  #04-12 ,1,83,Strata,930000,-,11205,1041,21-Sep-18,Condominium,99 Yrs From 20/10/2010,2015,Resale,Private,18,51,518197,East Region,Pasir Ris
TERRASSE,27 Terrasse Lane  #01-40 ,1,61,Strata,740000,-,12131,1127,20-Sep-18,Condominium,99 Yrs From 23/08/2010,2014,Resale,HDB,19,54,544777,North East Region,Hougang
CHILTERN PARK,135 Serangoon Avenue 3  #04-08 ,1,85,Strata,960000,-,11294,1049,20-Sep-18,Condominium,99 Yrs From 01/03/1991,1995,Resale,Private,19,55,556114,North East Region,Serangoon
THE ESTUARY,95 Yishun Avenue 1  #15-25 ,1,142,Strata,1460000,-,10282,955,20-Sep-18,Condominium,99 Yrs From 25/06/2008,2013,Resale,Private,27,76,769137,North Region,Yishun
RIVEREDGE,21 Sampan Place  #17-09 ,1,94,Strata,1520000,-,16170,1502,20-Sep-18,Condominium,99 Yrs From 26/02/2004,2008,Resale,Private,15,43,436593,Central Region,Kallang
EIGHT RIVERSUITES,10 Whampoa East  #20-27 ,1,78,Strata,1270000,-,16282,1513,20-Sep-18,Condominium,99 Yrs From 11/07/2011,2016,Resale,Private,12,33,338521,Central Region,Kallang
MEADOWLODGE,31 Chun Tin Road  #03-14 ,1,125,Strata,1450000,-,11600,1078,20-Sep-18,Condominium,99 Yrs From 24/10/1997,2004,Resale,Private,21,59,599717,Central Region,Bukit Timah
LIVIA,81 Pasir Ris Grove  #14-48 ,1,131,Strata,1240000,-,9466,879,20-Sep-18,Condominium,99 Yrs From 07/01/2008,2011,Resale,HDB,18,51,518210,East Region,Pasir Ris
THE GARDENS AT BISHAN,3 Sin Ming Walk  #01-25 ,1,167,Strata,1560000,-,9341,868,20-Sep-18,Condominium,99 Yrs From 22/03/1997,2004,Resale,Private,20,57,575575,Central Region,Bishan
THE TRE VER,76 Potong Pasir Avenue 1  #06-51 ,1,45,Strata,754000,-,16756,1557,20-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,Private,13,35,358399,Central Region,Toa Payoh
VILLA MARINA,23 Jalan Sempadan  #02-10 ,1,119,Strata,1300000,-,10924,1015,20-Sep-18,Condominium,99 Yrs From 13/02/1995,1999,Resale,HDB,15,45,457399,East Region,Bedok
ROSEWOOD SUITES,67 Rosewood Drive  #03-35 ,1,92,Strata,785000,-,8533,793,20-Sep-18,Condominium,99 Yrs From 25/02/2008,2011,Resale,HDB,25,73,737876,North Region,Woodlands
THE TAPESTRY,53 Tampines Street 86  #03-17 ,1,64,Strata,917600,-,14338,1332,20-Sep-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528540,East Region,Tampines
PARK COLONIAL,6 Woodleigh Lane  #12-22 ,1,110,Strata,2162000,-,19655,1826,20-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357687,Central Region,Toa Payoh
THE TRE VER,60 Potong Pasir Avenue 1  #14-08 ,1,47,Strata,778000,-,16553,1538,20-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,Private,13,35,358391,Central Region,Toa Payoh
D'NEST,141 Pasir Ris Grove  #11-50 ,1,70,Strata,830000,-,11857,1102,20-Sep-18,Condominium,99 Yrs From 20/10/2010,2017,Resale,HDB,18,51,518135,East Region,Pasir Ris
MARTIN MODERN,10 Martin Place  #23-12 ,1,132,Strata,3850000,-,29167,2710,20-Sep-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,9,23,237963,Central Region,River Valley
PARK COLONIAL,8 Woodleigh Lane  #08-39 ,1,62,Strata,1256000,-,20258,1882,20-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh
TROPICAL SPRING,31 Simei Street 4  #09-19 ,1,124,Strata,1210000,-,9758,907,20-Sep-18,Condominium,99 Yrs From 06/12/1997,2002,Resale,HDB,18,52,529877,East Region,Tampines
MARTIN MODERN,10 Martin Place  #06-08 ,1,130,Strata,3546300,-,27279,2534,20-Sep-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,9,23,237963,Central Region,River Valley
SOUTHAVEN I,41 Hindhede Walk  #07-08 ,1,100,Strata,1058000,-,10580,983,20-Sep-18,Condominium,99 Yrs From 01/08/1994,1997,Resale,Private,21,58,587972,West Region,Bukit Panjang
EAST MEADOWS,32 Tanah Merah Kechil Road  #07-19 ,1,111,Strata,1150000,-,10360,963,20-Sep-18,Condominium,99 Yrs From 02/03/1998,2002,Resale,Private,16,46,465559,East Region,Bedok
THE INFLORA,55 Flora Drive  #08-16 ,1,43,Strata,555000,-,12907,1199,19-Sep-18,Condominium,99 Yrs From 25/05/2012,2016,Resale,Private,17,50,506864,East Region,Pasir Ris
THE TRE VER,64 Potong Pasir Avenue 1  #15-17 ,1,65,Strata,1137000,-,17492,1625,19-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358393,Central Region,Toa Payoh
THE SHORE RESIDENCES,87 Amber Road  #10-24 ,1,55,Strata,985000,-,17909,1664,19-Sep-18,Condominium,103 Yrs From 18/08/2009,2014,Resale,Private,15,43,439897,Central Region,Marine Parade
ORCHID PARK CONDOMINIUM,93 Yishun Street 81  #02-06 ,1,91,Strata,718000,-,7890,733,19-Sep-18,Condominium,99 Yrs From 01/09/1991,1994,Resale,HDB,27,76,768451,North Region,Yishun
CASTLE GREEN,485 Yio Chu Kang Road  #10-06 ,1,131,Strata,1308000,-,9985,928,19-Sep-18,Condominium,99 Yrs From 01/12/1993,1997,Resale,HDB,26,78,787058,North East Region,Ang Mo Kio
PARK COLONIAL,12 Woodleigh Lane  #15-55 ,1,172,Strata,2600000,-,15116,1404,19-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357658,Central Region,Toa Payoh
PARK COLONIAL,12 Woodleigh Lane  #15-52 ,1,77,Strata,1218000,-,15818,1470,19-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357658,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #03-27 ,1,58,Strata,1056000,-,18207,1691,19-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357688,Central Region,Toa Payoh
PARK COLONIAL,2 Woodleigh Lane  #13-08 ,1,69,Strata,1433000,-,20768,1929,19-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357685,Central Region,Toa Payoh
THE TAPESTRY,63 Tampines Street 86  #04-58 ,1,56,Strata,851310,-,15202,1412,19-Sep-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528511,East Region,Tampines
PARK COLONIAL,8 Woodleigh Lane  #13-39 ,1,62,Strata,1276000,-,20581,1912,19-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357688,Central Region,Toa Payoh
SOUTHAVEN I,41 Hindhede Walk  #02-05 ,1,91,Strata,850000,-,9341,868,19-Sep-18,Condominium,99 Yrs From 01/08/1994,1997,Resale,Private,21,58,587972,West Region,Bukit Panjang
PARK COLONIAL,4 Woodleigh Lane  #04-13 ,1,63,Strata,1242000,-,19714,1832,19-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357686,Central Region,Toa Payoh
SANT RITZ,1 Pheng Geck Avenue  #15-24 ,1,49,Strata,855000,-,17449,1621,19-Sep-18,Condominium,99 Yrs From 01/10/2012,2016,Resale,Private,13,34,348196,Central Region,Toa Payoh
PARK COLONIAL,8 Woodleigh Lane  #10-31 ,1,43,Strata,834000,-,19395,1802,19-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh
HEDGES PARK CONDOMINIUM,89 Flora Drive  #08-71 ,1,81,Strata,830000,-,10247,952,19-Sep-18,Condominium,99 Yrs From 28/07/2010,2015,Resale,HDB,17,50,506890,East Region,Pasir Ris
PARK COLONIAL,4 Woodleigh Lane  #11-11 ,1,91,Strata,1847000,-,20297,1886,18-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357686,Central Region,Toa Payoh
GRANDEUR 8,6 Ang Mo Kio Central 3  #05-07 ,1,104,Strata,1050000,-,10096,938,18-Sep-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567743,North East Region,Ang Mo Kio
THOMSON GRAND,19 Sin Ming Walk  #13-10 ,1,127,Strata,1700000,-,13386,1244,18-Sep-18,Condominium,99 Yrs From 08/02/2010,2015,Resale,HDB,20,57,573914,Central Region,Bishan
FLO RESIDENCE,13 Punggol Field Walk  #16-27 ,1,73,Strata,850000,-,11644,1082,18-Sep-18,Condominium,99 Yrs From 05/12/2011,2016,Resale,Private,19,82,828745,North East Region,Punggol
H2O RESIDENCES,38 Fernvale Link  #13-21 ,1,129,Strata,1680000,-,13023,1210,18-Sep-18,Condominium,99 Yrs From 10/05/2010,2015,Resale,Private,28,79,797534,North East Region,Sengkang
PARK COLONIAL,8 Woodleigh Lane  #01-27 ,1,58,Strata,1056000,-,18207,1691,18-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,Private,13,35,357688,Central Region,Toa Payoh
ROSEWOOD,9 Rosewood Drive  #11-17 ,1,133,Strata,1040000,-,7820,726,18-Sep-18,Condominium,99 Yrs From 20/06/2000,2003,Resale,HDB,25,73,737938,North Region,Woodlands
RIVERBANK @ FERNVALE,13 Fernvale Close  #06-16 ,1,46,Strata,600000,-,13043,1212,18-Sep-18,Condominium,99 Yrs From 10/07/2013,2017,Resale,Private,28,79,797476,North East Region,Sengkang
SAVANNAH CONDOPARK,51 Simei Rise  #04-42 ,1,135,Strata,1290000,-,9556,888,18-Sep-18,Condominium,99 Yrs From 29/11/2000,2005,Resale,Private,18,52,528789,East Region,Tampines
THE AZURE,201 Ocean Drive  #02-04 ,1,155,Strata,2500000,-,16129,1498,18-Sep-18,Condominium,99 Yrs From 03/01/2005,2008,Resale,Private,4,9,98584,Central Region,Southern Islands
